id,short_name,name,category,health_or_development_domain,mechanism,target_population,delivery_channel,geography,givewell_status,givewell_review_updated,in_answer_pool,description,givewell_view,why_it_works
bridges,Rural footbridges,Bridges to Prosperity footbridges,Livelihoods,Infrastructure,Build infrastructure,Rural households,Construction,Sub-Saharan Africa;Latin America,Actively supporting,September 2022,True,"Footbridges in rural areas that connect isolated households to schools, clinics, and markets.",,"A bridge removes a physical barrier, so every trip to school, a clinic, or a market becomes shorter and safer."
chlorine-vouchers,Chlorine vouchers,Chlorine vouchers,Infectious disease,Diarrheal disease & water,Water treatment,Whole household,Voucher,,Actively supporting,June 2023,True,Vouchers that households redeem for free chlorine to treat their drinking water.,,"The voucher removes the price of chlorine, which is one reason households do not treat water."
tb-contacts,TB contact screening,Community-based household contact management programs for tuberculosis,Infectious disease,Tuberculosis,Screen & treat,Contacts of TB patients,Home visits,,Actively supporting,,True,"Health workers visit the homes of people diagnosed with TB, screen close contacts, and give preventive medicine where appropriate.",,"People who share a home with a TB patient have high exposure, so the search starts where new cases are most likely."
cmam,Malnutrition treatment,Community-based management of acute malnutrition,Nutrition,Undernutrition,Therapeutic feeding,Children under 5,Health facility,,Actively supporting,March 2024,True,Outpatient identification and treatment of uncomplicated severe and moderate acute malnutrition.,,"Outpatient treatment is designed to reach more children than hospital care, because families do not have to stay at a hospital."
new-incentives,Vaccine cash incentives,Conditional cash transfers to increase infant vaccination as run by New Incentives,Infectious disease,Vaccine-preventable disease,Incentives,Caregivers of young children,Health facility,,Actively supporting,December 2024,True,"Cash to caregivers who bring infants for routine vaccinations, plus outreach and work to keep vaccines in stock at clinics.",,Clinic visits cost caregivers time and money. A small payment at each visit offsets part of that cost.
deworming,Deworming,Deworming (mass drug administration targeting schistosomiasis and/or soil-transmitted helminths),Infectious disease,Neglected tropical diseases,Mass drug administration,School-age children,School,,Actively supporting,December 2024,True,"Anti-parasitic drugs for all school-age children in at-risk areas, once or twice a year.",,"Where worm infections are common, treating everyone costs less than testing each child, and schools gather children in one place."
ird-registry,Mobile vaccine incentives,Electronic immunization registry and mobile-based conditional cash transfers to increase vaccination as run by IRD Global,Infectious disease,Vaccine-preventable disease,Incentives,Caregivers of young children,Mobile phone,Pakistan (Sindh),Actively supporting,August 2022,False,Conditional cash transfers through a mobile-phone platform to encourage infant immunization in low-coverage districts.,,
eyeglasses-workers,Eyeglasses for workers,Eyeglasses to improve workers' manual dexterity,Other health,Vision,Assistive devices,Workers,Workplace,,Actively supporting,April 2019,True,Free or subsidized eyeglasses for workers whose output depends on close manual work.,,Near vision declines with age. Glasses let a worker keep doing precise work at full speed.
fp-radio,Family planning radio,Family planning radio campaigns,Maternal & child,Family planning,Mass media,Women of reproductive age,Radio & TV,,Actively supporting,,True,Radio campaigns that aim to increase the use of modern contraception.,,One broadcast reaches many listeners at a very low cost per person.
ipti,Malaria IPTi,Intermittent preventive treatment in infants (IPTi) for malaria,Infectious disease,Malaria,Preventive drugs,Infants,Routine immunization visits,,Actively supporting,March 2022,False,"Preventive antimalarial medicine for young infants, given at routine vaccination visits.",,
iron-fortification,Iron-fortified flour,Iron fortification,Nutrition,Micronutrients,Food supply change,Whole community,Supply chain,,Actively supporting,May 2020,True,"Iron added to staple foods, such as wheat flour, to reduce iron deficiency.",,"People eat staple foods every day, so fortification reaches them without any change in behavior."
iron-school,School iron supplements,Iron supplementation for school-age children,Nutrition,Micronutrients,Supplementation,School-age children,School,,Actively supporting,April 2019,True,Iron supplements for school-age children to prevent anemia.,,"Schools give regular access to children, so a weekly supplement is easy to deliver."
kmc,Kangaroo care,Kangaroo mother care (KMC),Maternal & child,Newborn health,Care practice,Low-birthweight or preterm newborns,Health facility,,Actively supporting,February 2021,True,A low-cost alternative to neonatal intensive care for low-birthweight babies during their stay at a health facility.,,Continuous skin-to-skin contact keeps a small baby warm and supports feeding when incubators are scarce.
malaria-vaccine,Malaria vaccine,Malaria vaccine,Infectious disease,Malaria,Vaccination,Children under 5,Health facility,,Actively supporting,October 2022,True,"The RTS,S malaria vaccine for young children in moderate-to-high transmission areas, as part of wider malaria control.",,The vaccine trains the immune system to attack the parasite early in an infection.
itn,Bed nets,Mass distribution of long-lasting insecticide-treated nets,Infectious disease,Malaria,Vector control,Whole community,Mass campaign,,Actively supporting,December 2023,True,"Long-lasting insecticide-treated nets for everyone in malaria-risk areas, usually every three years.",,"Malaria mosquitoes bite mostly at night. The net is a barrier, and the insecticide kills mosquitoes that land on it."
oaf-trees,Tree seedlings,One Acre Fund's tree program,Livelihoods,Agriculture,Productive inputs,Smallholder farmers,NGO field staff,Sub-Saharan Africa,Actively supporting,December 2022,True,Tree seedlings and training for small-scale farmers.,,Trees are a slow-growing asset. Farmers can later sell the timber or use it themselves.
ors-zinc,ORS + zinc,Oral Rehydration Solution (ORS) and zinc supplementation,Infectious disease,Diarrheal disease & water,Medicine,Sick children,Health facility,,Actively supporting,August 2023,True,"Treatment of dehydration from diarrhea with a glucose-and-salt solution, plus a short course of zinc.",,Diarrhea kills mainly through dehydration. ORS replaces the lost fluid and salts.
pla-groups,Women's groups (PLA),Participatory Learning and Action - Maternal and Neonatal Health,Maternal & child,Maternal health,Education & counseling,Women of reproductive age,Community groups,,Actively supporting,November 2022,True,"Facilitated groups of women, especially pregnant women, who develop local plans to improve care-seeking and prevention for mothers and newborns.",,"The group finds its own local problems and solutions, which can make the changes easier to keep."
clubfoot,Clubfoot casting,Ponseti casting for clubfoot,Other health,Surgery & disability,Surgery,Infants,Health facility,,Actively supporting,December 2022,True,"Treatment for clubfoot: a series of casts to correct the foot, a small tendon procedure, and then bracing.",,Early correction lets a child walk normally and prevents a lifelong disability.
smc,Seasonal malaria drugs,Seasonal malaria chemoprevention,Infectious disease,Malaria,Preventive drugs,Children under 5,Door-to-door,,Actively supporting,April 2024,True,Monthly courses of antimalarial medicine for children under 5 during the peak transmission season.,,"Where malaria is concentrated in a few months each year, drugs given only in that window protect children when risk is highest."
sms-reminders,SMS vaccine reminders,SMS reminders for immunization,Infectious disease,Vaccine-preventable disease,Reminders & nudges,Caregivers of young children,Mobile phone,,Actively supporting,May 2025,True,Text messages that remind caregivers of their children's upcoming vaccination dates.,,Many caregivers intend to vaccinate but forget the date. A reminder at the right time costs very little.
syphilis,Syphilis screening,Syphilis screening and treatment during pregnancy,Infectious disease,HIV & STIs,Screen & treat,Pregnant women,Health facility,,Actively supporting,May 2021,True,Rapid point-of-care syphilis testing and treatment during pregnancy.,,"Treatment during pregnancy prevents transmission to the baby, so a cheap test at the first visit protects two people."
vitamin-a,Vitamin A,Vitamin A supplementation,Nutrition,Micronutrients,Supplementation,Children under 5,Mass campaign,,Actively supporting,April 2024,True,"High-dose vitamin A for children aged about 6 months to 5 years in high-risk areas, two or three times a year.",,Vitamin A deficiency weakens the immune system. A periodic high dose tops up a child's stores.
water-quality,Water chlorination,Water quality interventions,Infectious disease,Diarrheal disease & water,Water treatment,Whole community,Community water point,,Actively supporting,April 2022,True,"Removal or disabling of pathogens in water, for example with chlorine dispensers or in-line chlorination.",,"Treatment at the water source protects everyone who collects water there, without effort from each household."
fp-commodities,Contraceptive supply,Family planning commodities,Maternal & child,Family planning,Commodity supply,Women of reproductive age,Supply chain,,Actively supporting,April 2025,True,Distribution of family planning commodities.,,Stockouts mean that women who want contraception cannot get it. A reliable supply closes that gap.
breastfeeding,Breastfeeding promotion,Breastfeeding promotion,Nutrition,Infant & child nutrition,Education & counseling,Caregivers of young children,Community health workers,,Further work planned,January 2023,True,"Counseling, community work, and media that encourage mothers to breastfeed exclusively and for longer.",GiveWell calls the program promising and may look for funding opportunities in some contexts.,"Breast milk gives nutrition and protection from infection, and clean water is not necessary."
cash,Cash transfers,Cash transfers,Livelihoods,Income & assets,Cash,Poor households,Cash payment,,Waiting for new evidence,November 2024,True,Cash grants to poor people in low-income countries.,GiveWell supported GiveDirectly from 2012 to 2022 and updated its assessment in 2024; it is now funding scoping of program variations.,"Households know their own needs. Cash lets them buy, invest, or repay what matters most to them."
chlorhexidine,Cord chlorhexidine,Chlorhexidine for umbilical cord care,Maternal & child,Newborn health,Hygiene & safe practices,Newborns,Health facility,,Further work planned,April 2021,True,An antiseptic applied to the newborn's umbilical cord stump to prevent infection.,GiveWell finds it promising in some circumstances and plans more research.,The cord stump is an open route for bacteria in the first days of life. An antiseptic closes that route.
community-mnh,Community birth package,Community-based intervention packages to reduce maternal and neonatal mortality,Maternal & child,Maternal health,Care practice,Pregnant women,Community health workers,,Further work planned,January 2020,False,"Care for women and newborns through community outreach workers, such as warmth after birth, breastfeeding help, vitamin K, and referrals.",GiveWell still wants to find a promising program of this type.,
