lon,lat,at_risk_kwh
-179.5,-42.5,20902
-179.5,-26.5,18353
-179.5,-25.5,585420
-179.5,-24.5,41617
-179.5,-22.5,67268
-179.5,-21.5,52162
-179.5,-20.5,3065
-179.5,-18.5,284
-179.5,-17.5,10426
-179.5,-15.5,27032
-179.5,-14.5,2429
-179.5,-11.5,11345
-179.5,-10.5,178800
-179.5,-9.5,186639
-179.5,-8.5,643556
-179.5,-7.5,918084
-179.5,-6.5,1144147
-179.5,-5.5,1006861
-179.5,-4.5,2888133
-179.5,-3.5,4060951
-179.5,-2.5,2657734
-179.5,-1.5,827520
-179.5,-0.5,102354
-179.5,0.5,284
-179.5,1.5,4462
-179.5,2.5,257305
-179.5,3.5,707875
-179.5,4.5,482414
-179.5,5.5,347170
-179.5,6.5,389986
-179.5,7.5,465254
-179.5,8.5,238618
-179.5,9.5,310138
-179.5,10.5,1872625
-179.5,11.5,2826438
-179.5,12.5,1807180
-179.5,13.5,818717
-179.5,14.5,385986
-179.5,15.5,91247
-179.5,16.5,349422
-179.5,17.5,169431
-179.5,18.5,204134
-179.5,19.5,68765
-179.5,20.5,998
-179.5,21.5,235
-179.5,22.5,4896
-179.5,24.5,33914
-179.5,29.5,964
-179.5,30.5,3173
-179.5,31.5,79587
-179.5,32.5,385403
-179.5,33.5,53522
-179.5,34.5,57037
-179.5,35.5,20841
-179.5,36.5,127236
-179.5,37.5,142646
-179.5,38.5,452667
-179.5,39.5,125868
-179.5,40.5,498126
-179.5,41.5,52729
-179.5,60.5,852676
-179.5,61.5,2578351
-179.5,62.5,149453
-179.5,63.5,2275
-179.5,81.5,13872
-178.5,-43.5,218229
-178.5,-42.5,81086
-178.5,-25.5,188796
-178.5,-23.5,590
-178.5,-22.5,5756
-178.5,-21.5,4933
-178.5,-20.5,2648
-178.5,-18.5,2607
-178.5,-16.5,47386
-178.5,-15.5,50938
-178.5,-14.5,653
-178.5,-11.5,11127
-178.5,-10.5,115921
-178.5,-9.5,500225
-178.5,-8.5,978799
-178.5,-7.5,1190829
-178.5,-6.5,1243523
-178.5,-5.5,1719927
-178.5,-4.5,5239747
-178.5,-3.5,5057641
-178.5,-2.5,1423381
-178.5,3.5,95220
-178.5,4.5,622819
-178.5,5.5,348485
-178.5,6.5,448446
-178.5,7.5,363334
-178.5,8.5,92456
-178.5,9.5,125325
-178.5,10.5,1656121
-178.5,11.5,3438294
-178.5,12.5,2311594
-178.5,13.5,818480
-178.5,14.5,157073
-178.5,15.5,58120
-178.5,16.5,251259
-178.5,17.5,140555
-178.5,18.5,128616
-178.5,19.5,24627
-178.5,20.5,36877
-178.5,23.5,5501
-178.5,24.5,20
-178.5,30.5,1193
-178.5,31.5,4439
-178.5,32.5,131502
-178.5,33.5,25823
-178.5,34.5,91641
-178.5,35.5,5631
-178.5,36.5,220249
-178.5,37.5,101691
-178.5,38.5,45044
-178.5,39.5,50518
-178.5,40.5,80644
-178.5,41.5,60722
-178.5,42.5,7973
-178.5,60.5,1393162
-178.5,61.5,2572328
-178.5,62.5,26031
-178.5,63.5,29928
-178.5,82.5,13872
-177.5,-43.5,99220
-177.5,-42.5,19959
-177.5,-36.5,20169
-177.5,-35.5,5580
-177.5,-34.5,3384
-177.5,-25.5,47111
