group,score
Rest of the fleet,0.647
Rest of the fleet,0.425
Rest of the fleet,0.717
Rest of the fleet,0.662
Rest of the fleet,0.629
Rest of the fleet,0.642
Rest of the fleet,0.668
Rest of the fleet,0.733
Rest of the fleet,0.669
Rest of the fleet,0.704
Rest of the fleet,0.684
Rest of the fleet,0.631
Rest of the fleet,0.711
Rest of the fleet,0.657
Rest of the fleet,0.668
Rest of the fleet,0.662
Rest of the fleet,0.66
Rest of the fleet,0.619
Rest of the fleet,0.57
Rest of the fleet,0.666
Rest of the fleet,0.671
Rest of the fleet,0.71
Rest of the fleet,0.635
Rest of the fleet,0.597
Rest of the fleet,0.63
Rest of the fleet,0.674
Rest of the fleet,0.682
Rest of the fleet,0.639
Rest of the fleet,0.67
Rest of the fleet,0.719
Rest of the fleet,0.69
Rest of the fleet,0.683
Rest of the fleet,0.717
Rest of the fleet,0.648
Rest of the fleet,0.659
Rest of the fleet,0.673
Rest of the fleet,0.592
Rest of the fleet,0.666
Rest of the fleet,0.685
Rest of the fleet,0.648
Rest of the fleet,0.712
Rest of the fleet,0.691
Rest of the fleet,0.345
Rest of the fleet,0.674
Rest of the fleet,0.63
Rest of the fleet,0.68
Rest of the fleet,0.692
Rest of the fleet,0.688
Rest of the fleet,0.517
Rest of the fleet,0.517
Rest of the fleet,0.675
Rest of the fleet,0.686
Rest of the fleet,0.497
Rest of the fleet,0.666
Rest of the fleet,0.674
Rest of the fleet,0.666
Rest of the fleet,0.664
Rest of the fleet,0.639
Rest of the fleet,0.635
Rest of the fleet,0.654
Rest of the fleet,0.687
Rest of the fleet,0.674
Rest of the fleet,0.689
Rest of the fleet,0.698
Rest of the fleet,0.719
Rest of the fleet,0.649
Rest of the fleet,0.681
Rest of the fleet,0.654
Rest of the fleet,0.527
Rest of the fleet,0.691
Rest of the fleet,0.664
Rest of the fleet,0.722
Rest of the fleet,0.698
Rest of the fleet,0.638
Rest of the fleet,0.653
Rest of the fleet,0.68
Rest of the fleet,0.638
Rest of the fleet,0.678
Rest of the fleet,0.671
Rest of the fleet,0.685
Rest of the fleet,0.644
Rest of the fleet,0.693
Rest of the fleet,0.665
Rest of the fleet,0.681
Rest of the fleet,0.657
Rest of the fleet,0.713
Rest of the fleet,0.671
Rest of the fleet,0.681
Rest of the fleet,0.603
Rest of the fleet,0.708
Rest of the fleet,0.694
Rest of the fleet,0.688
Rest of the fleet,0.668
Rest of the fleet,0.72
Rest of the fleet,0.699
Rest of the fleet,0.691
Rest of the fleet,0.716
Rest of the fleet,0.665
Rest of the fleet,0.554
Rest of the fleet,0.681
Later-identified cases,0.673
Rest of the fleet,0.642
Rest of the fleet,0.688
Rest of the fleet,0.701
Rest of the fleet,0.655
Rest of the fleet,0.67
Rest of the fleet,0.649
Rest of the fleet,0.707
Rest of the fleet,0.664
Rest of the fleet,0.358
Rest of the fleet,0.69
Rest of the fleet,0.742
Rest of the fleet,0.669
Rest of the fleet,0.374
Rest of the fleet,0.685
Rest of the fleet,0.658
Rest of the fleet,0.71
Rest of the fleet,0.525
Rest of the fleet,0.63
Later-identified cases,0.693
Rest of the fleet,0.698
Rest of the fleet,0.655
Rest of the fleet,0.641
Rest of the fleet,0.629
Rest of the fleet,0.67
Later-identified cases,0.696
Rest of the fleet,0.748
Rest of the fleet,0.606
Rest of the fleet,0.696
Rest of the fleet,0.622
Later-identified cases,0.672
Rest of the fleet,0.545
Rest of the fleet,0.736
Rest of the fleet,0.651
Rest of the fleet,0.332
Rest of the fleet,0.671
Rest of the fleet,0.689
Rest of the fleet,0.657
Rest of the fleet,0.662
Rest of the fleet,0.62
Rest of the fleet,0.668
Rest of the fleet,0.57
Rest of the fleet,0.622
Rest of the fleet,0.323
Later-identified cases,0.651
Rest of the fleet,0.713
Rest of the fleet,0.705
Rest of the fleet,0.686
Rest of the fleet,0.732
Rest of the fleet,0.65
Rest of the fleet,0.626
Rest of the fleet,0.668
Rest of the fleet,0.704
Rest of the fleet,0.687
Rest of the fleet,0.647
Rest of the fleet,0.696
Rest of the fleet,0.65
Rest of the fleet,0.742
Rest of the fleet,0.664
Rest of the fleet,0.593
Rest of the fleet,0.621
Rest of the fleet,0.648
Rest of the fleet,0.704
Rest of the fleet,0.747
Rest of the fleet,0.423
Rest of the fleet,0.714
Rest of the fleet,0.668
Rest of the fleet,0.694
Rest of the fleet,0.65
Rest of the fleet,0.679
Rest of the fleet,0.663
Rest of the fleet,0.681
Rest of the fleet,0.675
Rest of the fleet,0.658
Rest of the fleet,0.676
Rest of the fleet,0.257
Rest of the fleet,0.631
Rest of the fleet,0.669
Rest of the fleet,0.68
Later-identified cases,0.658
Rest of the fleet,0.601
Rest of the fleet,0.655
Rest of the fleet,0.687
Rest of the fleet,0.692
Rest of the fleet,0.629
Rest of the fleet,0.732
Rest of the fleet,0.621
Rest of the fleet,0.634
Rest of the fleet,0.672
Rest of the fleet,0.724
Rest of the fleet,0.675
Rest of the fleet,0.67
Rest of the fleet,0.493
Rest of the fleet,0.724
Rest of the fleet,0.7
Rest of the fleet,0.673
Rest of the fleet,0.662
Rest of the fleet,0.679
Rest of the fleet,0.501
Rest of the fleet,0.69
Rest of the fleet,0.599
Rest of the fleet,0.676
Rest of the fleet,0.728
Rest of the fleet,0.663
Rest of the fleet,0.667
Rest of the fleet,0.717
Rest of the fleet,0.693
Rest of the fleet,0.632
Rest of the fleet,0.68
Rest of the fleet,0.67
Rest of the fleet,0.659
Rest of the fleet,0.681
Rest of the fleet,0.726
Rest of the fleet,0.712
Rest of the fleet,0.637
Rest of the fleet,0.674
Rest of the fleet,0.619
Rest of the fleet,0.656
Rest of the fleet,0.645
Rest of the fleet,0.684
Rest of the fleet,0.671
Rest of the fleet,0.637
Rest of the fleet,0.672
Rest of the fleet,0.68
Rest of the fleet,0.714
Later-identified cases,0.683
Rest of the fleet,0.637
Rest of the fleet,0.635
Rest of the fleet,0.691
Rest of the fleet,0.615
Rest of the fleet,0.649
Rest of the fleet,0.675
Rest of the fleet,0.643
Rest of the fleet,0.701
Rest of the fleet,0.711
Rest of the fleet,0.66
Rest of the fleet,0.705
Rest of the fleet,0.644
Rest of the fleet,0.7
Rest of the fleet,0.64
Rest of the fleet,0.684
Rest of the fleet,0.661
